,DPV1,DPV2,DPV3,DPV4,DPV5,DPV6,DPV7,DPV8,DPV9,DPV10,DPV11,DPV12,DPV13,DPV14,DPV15,DPV16,DPV17,DPV18,DPV19,DPV20,DPV21,DPV22,DPV23,DPV24,DPV25,DPV26,DPV27,DPV28,DPV29,DPV30,DPV31,DPV32,DPV33,DPV34,DPV35,DPV36,DPV37,DPV38,DPV39,DPV40,DPV41,DPV42,DPV43,DPV44,DPV45,DPV46,DPV47,DPV48,DPV49,DPV50,DPV51,DPV52,DPV53,DPV54,DPV55,DPV56,DPV57,DPV58,DPV59,DPV60,DPV61
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.13672950533333333,0.02191647383333334,0.11130848775,0.07014317775,0.129720418,0.04901130308333334,0.13672950533333333,0.038497672499999996,0.25159484325,0.0804998885,0.22716765158333332,0.0025630244166666666,0.0041845296666666665,0.19055301741666666,0.03426083616666666,0.033319316999999994,0.010827470333333332,0.027460975583333328,0.05847880141666667,0.39402577,0.07825070383333334,0.13950175608333334,0.003452236916666667,0.09540727533333333,0.129563498,0.13740949125000002,1.0398556097499998,0.004864515666666666,0.023747205500000004,0.07563537275,0.6768999720000001,0.04142684325,0.03426083616666666,0.06826013933333334,0.19724826483333333,0.04053763075,0.09373346333333332,0.061669505333333326,0.30719678050000004,0.01595351916666667,0.07218313591666668,0.07851223691666666,0.06888781883333334,0.027931735166666666,0.08756128224999998,0.08348136583333333,0.16298742858333334,0.17716252266666666,0.08954893383333333,0.08233062016666666,0.04357141475,0.035097742166666675,0.0178365575,0.20833726833333333,0.07014317775,0.39402577,0.09373346333333332,0.12485590249999999,0.1281512195,0.08348136583333333,0.09718570041666667
8,0.6839754145833333,0.10963492683333335,0.5568093658333333,0.35088409758333333,0.6489131707500001,0.24517404875,0.6839754145833333,0.19258068291666666,1.2585775609166665,0.4026924878333333,1.1363830244166666,0.012821268333333335,0.020932682916666667,0.9532220487500002,0.17138634149999998,0.16667648783333333,0.054163317083333336,0.13737073166666666,0.2925342438333333,1.9710737561666665,0.39144117075,0.6978433170833332,0.017269463416666665,0.47726517075,0.6481281950833333,0.6873769755833333,5.201771707749999,0.024334243833333335,0.11879297558333335,0.37835824383333333,3.3861231220000003,0.2072335609166667,0.17138634149999998,0.34146439025,0.9867143414999999,0.20278536583333331,0.46889209758333333,0.3084954145833333,1.5367205854166668,0.07980585366666666,0.3610887805,0.39274946341666667,0.34460429266666665,0.1397256585,0.43801639025,0.4176070244166667,0.815328,0.8862374634166668,0.44795941458333327,0.4118505365833333,0.21796156091666666,0.17557287800000002,0.08922556091666667,1.04218595125,0.35088409758333333,1.9710737561666665,0.46889209758333333,0.6245789268333334,0.6410634145833333,0.4176070244166667,0.4861615609166667
9,1.47172754,0.23590429966666668,1.19810107325,0.7550063623333334,1.3962832054999998,0.5275473239999999,1.47172754,0.41438082225,2.708113798,0.8664838118333335,2.4451846620833333,0.027587853666666676,0.04504139375000001,2.0510724669166662,0.36877641133333333,0.3586420975833333,0.11654460625,0.29558414633333335,0.6294534773333332,4.241210236916667,0.8422740626666667,1.5015674634166667,0.037159149833333335,1.026943777,1.3945941533333333,1.4790467665833333,11.19278634175,0.052360620000000004,0.2556099095,0.8141231915833332,7.2860084529166675,0.4459097979999999,0.36877641133333333,0.7347377351666666,2.12313869675,0.43633850175000005,1.0089272195,0.66379754,3.306601317166667,0.1717203135833333,0.7769640418333333,0.8450891498333334,0.7414939442499998,0.30065130325,0.9424911636666667,0.8985758048333334,1.75436228575,1.9069400070000002,0.9638858257500001,0.8861894215833334,0.46899351225,0.37778468949999994,0.19198894074999998,2.242498390166667,0.7550063623333334,4.241210236916667,1.0089272195,1.3439225855000003,1.3793926828333332,0.8985758048333334,1.0460863693333333
10,2.1171396237500004,0.3393578815,1.7235168780833334,1.0861072055833332,2.0086098955,0.7588981741666667,2.1171396237500004,0.5961035818333333,3.8957312891666667,1.2464720280000001,3.5174970871666673,0.03968624383333334,0.0647938675,2.950550745583334,0.5304997909166668,0.5159211706666665,0.16765413250000002,0.42520975616666673,0.9054942996666667,6.101152557500001,1.211645324,2.160065561,0.05345494074999999,1.477300181333333,2.0061801255,2.127668627166667,16.1012760975,0.07532287108333334,0.36770519858333334,1.1711491568333334,10.481218006833334,0.6414592891666667,0.5304997909166668,1.056949965,3.0542209337500004,0.6276905923333334,1.4513826341666667,0.9548996237500001,4.756679804999999,0.24702662033333334,1.1176942159999999,1.21569494075,1.0666690452499996,0.43249906625000006,1.3558116795000001,1.2926376585000001,2.5237211428333333,2.7432103693333336,1.3865887665833334,1.2748193449999998,0.6746661463333333,0.5434585644166666,0.27618386083333335,3.225924682916667,1.0861072055833332,6.101152557500001,1.4513826341666667,1.9332870244166667,1.984312195,1.2926376585000001,1.5048375749166667
