   204,'P1',     0.632,    -0.126,    -0.126,    -0.126,1.00000,     0,     0.020, 0.00000E+0, 9.99900E+3, 0.00000E+0, 0.00000E+0,1.00000,1,  100.0,     1.496,       0.0,   1,1.0000,    ,      ,    ,      ,    ,      ,1, 1.0000
   205,'P1',     1.136,     -0.21,     -0.21,     -0.21,1.00000,     0,     0.219, 0.00000E+0, 9.99900E+3, 0.00000E+0, 0.00000E+0,1.00000,1,  100.0,     2.667,       0.0,   1,1.0000,    ,      ,    ,      ,    ,      ,1, 1.0000
   209,'P1',     0.031,       0.0,       0.0,       0.0,1.00000,     0,     0.064, 0.00000E+0, 9.99900E+3, 0.00000E+0, 0.00000E+0,1.00000,1,  100.0,     0.066,       0.0,   1,1.0000,    ,      ,    ,      ,    ,      ,1, 1.0000
   216,'P1',     0.782,    -0.134,    -0.134,    -0.134,1.00000,     0,     0.263, 0.00000E+0, 9.99900E+3, 0.00000E+0, 0.00000E+0,1.00000,1,  100.0,     1.824,       0.0,   1,1.0000,    ,      ,    ,      ,    ,      ,1, 1.0000
   225,'P1',     1.099,    -0.162,    -0.162,    -0.162,1.00000,     0,     0.085, 0.00000E+0, 9.99900E+3, 0.00000E+0, 0.00000E+0,1.00000,1,  100.0,     2.477,       0.0,   1,1.0000,    ,      ,    ,      ,    ,      ,1, 1.0000
   234,'P1',     1.214,    -0.132,    -0.132,    -0.132,1.00000,     0,     0.048, 0.00000E+0, 9.99900E+3, 0.00000E+0, 0.00000E+0,1.00000,1,  100.0,     2.627,       0.0,   1,1.0000,    ,      ,    ,      ,    ,      ,1, 1.0000
   235,'P1',     9.735,    -0.522,    -0.522,    -0.522,1.00000,     0,     0.237, 0.00000E+0, 9.99900E+3, 0.00000E+0, 0.00000E+0,1.00000,1,  100.0,     19.88,       0.0,   1,1.0000,    ,      ,    ,      ,    ,      ,1, 1.0000
   241,'P1',      0.04,    -0.007,    -0.007,    -0.007,1.00000,     0,     0.006, 0.00000E+0, 9.99900E+3, 0.00000E+0, 0.00000E+0,1.00000,1,  100.0,     0.093,       0.0,   1,1.0000,    ,      ,    ,      ,    ,      ,1, 1.0000
   325,'P1',     0.205,    -0.026,    -0.026,    -0.026,1.00000,     0,     0.027, 0.00000E+0, 9.99900E+3, 0.00000E+0, 0.00000E+0,1.00000,1,  100.0,     0.454,       0.0,   1,1.0000,    ,      ,    ,      ,    ,      ,1, 1.0000
   335,'P1',     0.665,    -0.073,    -0.073,    -0.073,1.00000,     0,     0.076, 0.00000E+0, 9.99900E+3, 0.00000E+0, 0.00000E+0,1.00000,1,  100.0,     1.446,       0.0,   1,1.0000,    ,      ,    ,      ,    ,      ,1, 1.0000
